fips,acp_type,county,st,total_votes,lead,st_name,trump,clinton,other
01001,1,Autauga County,AL,24759,Donald Trump,Alabama,18172,5936,651
01051,1,Elmore County,AL,36927,Donald Trump,Alabama,27634,8443,850
01083,1,Limestone County,AL,39792,Donald Trump,Alabama,29067,9468,1257
01115,1,St. Clair County,AL,38054,Donald Trump,Alabama,31651,5589,814
01117,1,Shelby County,AL,99442,Donald Trump,Alabama,73020,22977,3445
05007,1,Benton County,AR,96824,Donald Trump,Arkansas,60871,28005,7948
05085,1,Lonoke County,AR,27100,Donald Trump,Arkansas,19958,5664,1478
05125,1,Saline County,AR,52100,Donald Trump,Arkansas,35863,13256,2981
06017,1,El Dorado County,CA,92293,Donald Trump,California,49247,36404,6642
06057,1,Nevada County,CA,54070,Hillary Clinton,California,23365,26053,4652
06061,1,Placer County,CA,180631,Donald Trump,California,95138,73509,11984
06115,1,Yuba County,CA,22749,Donald Trump,California,13170,7910,1669
08001,1,Adams County,CO,193665,Hillary Clinton,Colorado,80082,96558,17025
08035,1,Douglas County,CO,187499,Donald Trump,Colorado,102573,68657,16269
08039,1,Elbert County,CO,15978,Donald Trump,Colorado,11705,3134,1139
08045,1,Garfield County,CO,26470,Donald Trump,Colorado,13132,11271,2067
08059,1,Jefferson County,CO,328882,Hillary Clinton,Colorado,138177,160776,29929
08077,1,Mesa County,CO,77653,Donald Trump,Colorado,49779,21729,6145
08123,1,Weld County,CO,135428,Donald Trump,Colorado,76651,46519,12258
09005,1,Litchfield County,CT,97271,Donald Trump,Connecticut,53051,39775,4445
09007,1,Middlesex County,CT,88481,Hillary Clinton,Connecticut,38867,45357,4257
12019,1,Clay County,FL,106483,Donald Trump,Florida,74963,27822,3698
12089,1,Nassau County,FL,46607,Donald Trump,Florida,34266,10869,1472
12109,1,St. Johns County,FL,136513,Donald Trump,Florida,88684,43099,4730
12113,1,Santa Rosa County,FL,87744,Donald Trump,Florida,65339,18464,3941
12129,1,Wakulla County,FL,15350,Donald Trump,Florida,10512,4348,490
13013,1,Barrow County,GA,28831,Donald Trump,Georgia,21108,6580,1143
13015,1,Bartow County,GA,39306,Donald Trump,Georgia,29911,8212,1183
13047,1,Catoosa County,GA,26528,Donald Trump,Georgia,20876,4771,881
13057,1,Cherokee County,GA,110895,Donald Trump,Georgia,80649,25231,5015
13077,1,Coweta County,GA,61351,Donald Trump,Georgia,42533,16583,2235
13085,1,Dawson County,GA,11704,Donald Trump,Georgia,9900,1448,356
13097,1,Douglas County,GA,57416,Hillary Clinton,Georgia,24817,31005,1594
13103,1,Effingham County,GA,23406,Donald Trump,Georgia,17874,4853,679
13113,1,Fayette County,GA,60435,Donald Trump,Georgia,35048,23284,2103
13117,1,Forsyth County,GA,97404,Donald Trump,Georgia,69851,23462,4091
13145,1,Harris County,GA,16401,Donald Trump,Georgia,11936,4086,379
13151,1,Henry County,GA,98286,Hillary Clinton,Georgia,45724,50057,2505
13157,1,Jackson County,GA,27109,Donald Trump,Georgia,21784,4491,834
13177,1,Lee County,GA,14115,Donald Trump,Georgia,10646,3170,299
13187,1,Lumpkin County,GA,12334,Donald Trump,Georgia,9619,2220,495
13217,1,Newton County,GA,43803,Hillary Clinton,Georgia,20913,21943,947
13219,1,Oconee County,GA,19931,Donald Trump,Georgia,13425,5581,925
13223,1,Paulding County,GA,64641,Donald Trump,Georgia,44662,18025,1954
13227,1,Pickens County,GA,13984,Donald Trump,Georgia,11651,1979,354
13231,1,Pike County,GA,8681,Donald Trump,Georgia,7278,1240,163
13247,1,Rockdale County,GA,37656,Hillary Clinton,Georgia,13478,23255,923
13297,1,Walton County,GA,40472,Donald Trump,Georgia,31125,8292,1055
16001,1,Ada County,ID,195626,Donald Trump,Idaho,93752,75677,26197
16027,1,Canyon County,ID,72765,Donald Trump,Idaho,47222,16883,8660
16045,1,Gem County,ID,7952,Donald Trump,Idaho,5980,1229,743
16055,1,Kootenai County,ID,66286,Donald Trump,Idaho,44449,16264,5573
16075,1,Payette County,ID,8704,Donald Trump,Idaho,6489,1507,708
16083,1,Twin Falls County,ID,29873,Donald Trump,Idaho,19828,6233,3812
17007,1,Boone County,IL,22666,Donald Trump,Illinois,12282,8986,1398
17063,1,Grundy County,IL,22982,Donald Trump,Illinois,13454,8065,1463
17089,1,Kane County,IL,198587,Hillary Clinton,Illinois,82734,103665,12188
17093,1,Kendall County,IL,53262,Donald Trump,Illinois,24961,24884,3417
17097,1,Lake County,IL,297995,Hillary Clinton,Illinois,109767,171095,17133
17111,1,McHenry County,IL,141750,Donald Trump,Illinois,71612,60803,9335
17197,1,Will County,IL,300354,Hillary Clinton,Illinois,132720,151927,15707
