state,electoral_votes
Alaska,3
Delaware,3
District of Columbia,3
Montana,3
North Dakota,3
South Dakota,3
Vermont,3
Wyoming,3
Hawaii,4
Idaho,4
Maine,2
Maine-1,1
Maine-2,1
New Hampshire,4
Rhode Island,4
Nebraska,2
Nebraska-1,1
Nebraska-2,1
Nebraska-3,1
New Mexico,5
West Virginia,5
Arkansas,6
Iowa,6
Kansas,6
Mississippi,6
Nevada,6
Utah,6
Connecticut,7
Oklahoma,7
Oregon,7
Kentucky,8
Louisiana,8
Alabama,9
Colorado,9
South Carolina,9
Maryland,10
Minnesota,10
Missouri,10
Wisconsin,10
Arizona,11
Indiana,11
Massachusetts,11
Tennessee,11
Washington,12
Virginia,13
New Jersey,14
North Carolina,15
Georgia,16
Michigan,16
Ohio,18
Illinois,20
Pennsylvania,20
Florida,29
New York,29
Texas,38
California,55
