GEO_ID,NAME_x,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P005001,P005002,P005003,P005004,P005005,P005006,P005007,P005008,P005009,P005010,P005011,P005012,P005013,P005014,P005015,P005016,P005017,GEOID10,DISTRICT,PSA,NAME,POLDIST_ID,GIS_ID,SECTOR
1000000US110010040021000,"Block 1000, Block Group 1, Census Tract 40.02, District of Columbia, District of Columbia",273,199,24,0,10,1,22,17,273,216,182,12,0,10,1,0,11,57,17,12,0,0,0,22,6,110010040021000,3,303,303,3,psa_37,3D3
1000000US110010040021001,"Block 1001, Block Group 1, Census Tract 40.02, District of Columbia, District of Columbia",407,346,27,1,17,0,9,7,407,362,313,23,1,17,0,1,7,45,33,4,0,0,0,8,0,110010040021001,3,303,303,3,psa_37,3D3
1000000US110010040022000,"Block 2000, Block Group 2, Census Tract 40.02, District of Columbia, District of Columbia",464,377,39,0,30,0,9,9,464,430,355,39,0,28,0,0,8,34,22,0,0,2,0,9,1,110010040022000,3,303,303,3,psa_37,3D3
1000000US110010040022001,"Block 2001, Block Group 2, Census Tract 40.02, District of Columbia, District of Columbia",345,298,26,0,7,0,2,12,345,325,282,25,0,7,0,0,11,20,16,1,0,0,0,2,1,110010040022001,3,303,303,3,psa_37,3D3
1000000US110010040022003,"Block 2003, Block Group 2, Census Tract 40.02, District of Columbia, District of Columbia",315,239,24,1,35,0,9,7,315,288,221,24,1,35,0,0,7,27,18,0,0,0,0,9,0,110010040022003,3,303,303,3,psa_37,3D3
1000000US110010042011004,"Block 1004, Block Group 1, Census Tract 42.01, District of Columbia, District of Columbia",211,165,18,1,19,0,5,3,211,188,150,18,1,18,0,0,1,23,15,0,0,1,0,5,2,110010042011004,3,301,301,3,psa_31,3D3
1000000US110010042011005,"Block 1005, Block Group 1, Census Tract 42.01, District of Columbia, District of Columbia",117,93,14,0,10,0,0,0,117,107,83,14,0,10,0,0,0,10,10,0,0,0,0,0,0,110010042011005,3,301,301,3,psa_31,3D3
1000000US110010042022000,"Block 2000, Block Group 2, Census Tract 42.02, District of Columbia, District of Columbia",206,165,7,0,25,0,3,6,206,190,156,6,0,25,0,2,1,16,9,1,0,0,0,1,5,110010042022000,2,208,208,2,psa_33,2D3
1000000US110010042022002,"Block 2002, Block Group 2, Census Tract 42.02, District of Columbia, District of Columbia",168,137,11,0,9,0,6,5,168,144,120,11,0,9,0,0,4,24,17,0,0,0,0,6,1,110010042022002,2,208,208,2,psa_33,2D3
1000000US110010042022003,"Block 2003, Block Group 2, Census Tract 42.02, District of Columbia, District of Columbia",157,109,25,2,8,0,5,8,157,137,94,25,2,8,0,1,7,20,15,0,0,0,0,4,1,110010042022003,2,208,208,2,psa_33,2D3
